Numero	Nimi	Valmistaja	Pullokoko	Hinta	Litrahinta	Uutuus	Hinnastojärjestyskoodi	Tyyppi	Alatyyppi	Erityisryhmä	Oluttyyppi	Valmistusmaa	Alue	Ala-alue	Vuosikerta	Etikettimerkintöjä	Huomautus	Rypäleet	Luonnehdinta	Pakkaustyyppi	Suljentatyyppi	Alkoholi	Hapot g/l	Sokeri g/l	Kantavierrep	Väri EBC	Katkerot EBU	Energia kcal/100 ml	Valikoima
000901	Hennessy Very Special 		0,70	39,80	56,71		432	konjakit								Hennessy			Kuparinruskea, keskitäyteläinen, nuorehko, lämmin, kypsän hedelmäinen, suklainen, tamminen, rodukas	pullo	luonnonkorkki	40,00		9				230	vakiovalikoima
000902	Hennessy Very Special 		0,35	21,60	61,43		432	konjakit								Hennessy			Kuparinruskea, keskitäyteläinen, nuorehko, lämmin, kypsän hedelmäinen, suklainen, tamminen, rodukas	pullo	luonnonkorkki	40,00		9				230	vakiovalikoima
000886	Hennessy X.O. 		0,70	166,40	237,71		432	konjakit								Hennessy			Tummanruskea, iäkäs, voimakasarominen, täyteläinen, hienostunut, hedelmäisen tamminen, tasapainoinen	pullo	luonnonkorkki	40,00		12				230	vakiovalikoima
000851	Henri Mounier VS 		0,70	28,80	41,00		432	konjakit								Henri Mounier, AC Cognac			Meripihkanruskea, keskitäyteläinen, nuorehko, lämmin, kevyen hedelmäinen, mausteinen, tamminen	pullo	luonnonkorkki	40,00		6				230	vakiovalikoima
179257	Hine Rare 		0,70	59,90	85,57		432	konjakit								Thomas Hine, AC Fine Champagne			Meripihkanruskea, täyteläinen, iäkäs, lämmin, kypsän hedelmäinen, aprikoosinen, hennon hunajainen, yrttinen, tasapainoinen	pullo	luonnonkorkki	40,00		9				230	vakiovalikoima
118577	Jules Gautret 10 Years Old 		0,70	50,00	71,29		432	konjakit								Jules Gautret			Tummanruskea, täyteläinen, iäkäs, lämmin, makean hedelmäinen, mausteinen, kevyen kaakaoinen, tamminen	pullo	luonnonkorkki	40,00		11				230	vakiovalikoima
137736	Jules Gautret V.S.  muovipullo		0,50	22,90	45,80		432	konjakit								Jules Gautret			Meripihkanruskea, keskitäyteläinen, nuorehko, terävä, kevyen hedelmäinen, hennon kaakaoinen	muovipullo	metallinen kierrekapseli	40,00		12				230	vakiovalikoima
109277	Larsen V.S.O.P. Cognac 		0,70	53,00	75,71		432	konjakit								Larsen, AC Cognac			Kullanruskea, keskitäyteläinen, melko iäkäs, lämmin, aprikoosinen, mausteinen, tamminen	pullo	luonnonkorkki	40,00		9				230	vakiovalikoima
000935	Larsen Very Special 		0,70	41,90	59,71		432	konjakit								Larsen,  			Kullankeltainen, keskitäyteläinen, nuorehko, lämmin, hedelmäinen, mausteinen	pullo	luonnonkorkki	40,00		10				230	vakiovalikoima
109356	Larsen Very Special Vikings' Cognac  muovipullo		0,50	29,90	59,80		432	konjakit								Larsen			Kullankeltainen, keskitäyteläinen, nuorehko, lämmin, hedelmäinen, mausteinen	muovipullo	metallinen kierrekapseli	40,00		10				230	vakiovalikoima
000823	Larsen XO 		0,70	74,50	106,29		432	konjakit								Larsen, AC Cognac			Kullanruskea, täyteläinen, iäkäs, terävä, hedelmäinen, hennon aprikoosinen, mausteinen, kevyen kaakaoinen, tamminen	pullo	luonnonkorkki	40,00		12				230	vakiovalikoima
000811	Lexicon V.S. 		0,70	29,90	42,57		432	konjakit								Distelleries de Matha, AC Cognac			Kullanruskea, keskitäyteläinen, nuorehko, terävä, makean hedelmäinen	pullo	luonnonkorkki	40,00		11				230	vakiovalikoima
109256	Louis Royer Force 53 V.S.O.P 		0,50	38,50	76,80		432	konjakit								Louis Royer, AC Fine Champagne			Vaaleanruskea, keskitäyteläinen, melko iäkäs, tulinen, hennon suklainen, mausteinen, tamminen	pullo	muovisuljin	53,00		12				300	vakiovalikoima
161537	Martell Cordon Bleu Extra Old 		0,70	125,00	178,43		432	konjakit								Martell, AC Cognac			Mahonginruskea, täyteläinen, iäkäs, lämmin, taatelinen, hennon suklainen, mineraalinen, tyylikkään tamminen, pitkä	pullo	luonnonkorkki	40,00		6				230	vakiovalikoima
108237	Martell Création Extra 		0,70	389,00	555,71		432	konjakit								Martell			Mahonginruskea, täyteläinen, iäkäs, kypsän hedelmäinen, hennon mausteinen, tasapainoinen, tyylikäs, pitkä.	pullo	luonnonkorkki	40,00		6				230	vakiovalikoima
000956	Martell V.S.O.P. Medaillon 		0,70	55,90	79,71		432	konjakit								Martell, AC Cognac			Mahonginruskea, keskitäyteläinen, melko iäkäs, lämmin, kypsän hedelmäinen, hennon suklainen, tamminen	pullo	luonnonkorkki	40,00		7				230	vakiovalikoima
000951	Martell VS 		0,70	38,90	55,43		432	konjakit								Martell,  			Kuparinruskea, keskitäyteläinen, nuorehko, terävä, kevyen hedelmäinen, mausteinen, tamminen	pullo	luonnonkorkki	40,00		7				230	vakiovalikoima
000953	Martell VS*** 		0,20	13,29	66,45		432	konjakit								Martell			Kuparinruskea, keskitäyteläinen, nuorehko, terävä, kevyen hedelmäinen, mausteinen, tamminen	pullo	metallinen kierrekapseli	40,00		7				230	vakiovalikoima
178091	Martell X.O. 		0,05	8,98	179,60		432	konjakit								Martell			Mahonginruskea, erittäin täyteläinen, iäkäs, lämmin, aprikoosinen, kaakaoinen, mineraalinen, kevyen tamminen, elegantti	pullo	muovisuljin	40,00		11				230	vakiovalikoima
189444	Martell XO 		0,35	69,90	199,71		432	konjakit								Martell, AC Cognac			Mahonginruskea, erittäin täyteläinen, iäkäs, lämmin, aprikoosinen, kaakaoinen, mineraalinen, kevyen tamminen, elegantti	pullo	luonnonkorkki	40,00		11				230	vakiovalikoima
194416	Maxime Trijol VSOP  muovipullo		0,50	27,90	55,80		432	konjakit								Maxime Trijol, AC Cognac			Meripihkanruskea, täyteläinen, melko iäkäs, lämmin, makean hedelmäinen, hennon suklainen	muovipullo	metallinen kierrekapseli	40,00		15				230	vakiovalikoima
109414	Meukow Féline V.S.O.P. Superior Cognac 		0,35	27,50	78,57		432	konjakit								Meukow			Meripihkanruskea, keskitäyteläinen, melko iäkäs, lämmin, makean hedelmäinen, kevyen kaakaoinen, hennon yrttinen	pullo	luonnonkorkki	40,00		13				230	vakiovalikoima
